Parameters,2015,2016,2017,2018,2019,Class
Population (million),81.7,82.3,82.7,82.9,83.0,1
Purchasing power of one Euro,1.06,1.06,1.04,1.02,1.01,0
GDP per capita (EUR),37056,37989,39304,40395,41474,1
GDP (EUR bn),3027,3134,3245,3344,3436,1
Euro-USD-power-of,0.778,0.753,0.745,0.737,0.743,0
Economic Growth (GDP - annual variation in %),1.7,2.2,2.5,1.5,0.6,0
Domestic Demand (annual variation in %),1.6,3.0,2.4,2.1,1.2,0
Consumption (annual variation in %),1.9,2.3,1.3,1.3,1.6,0
Investment (annual variation in %),1.8,3.8,2.5,3.5,2.6,1
Exports (G&S - annual variation in %),5.5,2.4,4.9,2.1,1.0,0
Imports (G&S - annual variation in %),5.8,4.3,5.2,3.6,2.5,0
Industrial Production (annual variation in %),0.9,1.8,3.3,0.9,-3.1,0
Retail Sales (annual variation in %),3.8,2.6,2.8,1.8,3.0,0
Unemployment Rate,6.4,6.1,5.7,5.2,5.0,0
Fiscal Balance (% of GDP),0.9,1.2,1.2,1.9,1.4,1
Public Debt (% of GDP),72.1,69.2,65.3,61.9,59.8,0
Euro vs USD,1.20,1.09,1.05,1.20,1.15,0
Inflation Rate (CPI - annual variation in % eop),0.2,1.5,1.4,1.6,1.5,1
Inflation Rate (CPI - annual variation in %),0.5,0.5,1.5,1.7,1.4,1
Inflation (PPI - annual variation in %),-1.9,-1.6,2.7,2.6,1.1,1
Stock Market (annual variation in %),9.6,6.9,12.5,-18.3,25.5,1
Current Account (% of GDP),8.5,8.5,7.7,7.5,7.0,0
Current Account Balance (EUR bn),260,267,254,247,245,0
Trade Balance (EUR billion),242,246,249,231,226,0
